,song_name,artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,Mood Label
33,No Step on Wing,Nils Frahm,0.181,0.161,11,-27.538,1,0.0348,0.931,0.947,0.134,0.24,93.444,audio_features,2DmIDwMhMA3V0KipI78nM1,spotify:track:2DmIDwMhMA3V0KipI78nM1,https://api.spotify.com/v1/tracks/2DmIDwMhMA3V0KipI78nM1,https://api.spotify.com/v1/audio-analysis/2DmIDwMhMA3V0KipI78nM1,286986,4,ambient
34,Vision of Self,Rival Consoles,0.43,0.389,6,-14.204,0,0.0547,0.821,0.94,0.358,0.0519,118.526,audio_features,1pbxHoGLKHD7jx4vMw5H2n,spotify:track:1pbxHoGLKHD7jx4vMw5H2n,https://api.spotify.com/v1/tracks/1pbxHoGLKHD7jx4vMw5H2n,https://api.spotify.com/v1/audio-analysis/1pbxHoGLKHD7jx4vMw5H2n,347981,1,ambient
35,Angel's Flight,Biosphere,0.521,0.28,1,-16.645,1,0.0362,0.946,0.943,0.112,0.307,141.96,audio_features,3W3xcAOWb0TkMqqI7Rd5xg,spotify:track:3W3xcAOWb0TkMqqI7Rd5xg,https://api.spotify.com/v1/tracks/3W3xcAOWb0TkMqqI7Rd5xg,https://api.spotify.com/v1/audio-analysis/3W3xcAOWb0TkMqqI7Rd5xg,352357,1,ambient
36,Requiem for CS70 and Strings,Floating Points,0.196,0.014,0,-20.872,0,0.0349,0.986,0.93,0.112,0.0645,137.347,audio_features,5tJZSE0l9xTnRrccjBZZXg,spotify:track:5tJZSE0l9xTnRrccjBZZXg,https://api.spotify.com/v1/tracks/5tJZSE0l9xTnRrccjBZZXg,https://api.spotify.com/v1/audio-analysis/5tJZSE0l9xTnRrccjBZZXg,143080,1,ambient
37,There Were Bells,Brian Eno,0.144,0.275,4,-15.408,0,0.036,0.798,0.363,0.0965,0.039,77.303,audio_features,16e88gyG4rLhaAAYqRPujQ,spotify:track:16e88gyG4rLhaAAYqRPujQ,https://api.spotify.com/v1/tracks/16e88gyG4rLhaAAYqRPujQ,https://api.spotify.com/v1/audio-analysis/16e88gyG4rLhaAAYqRPujQ,292467,1,ambient
38,Broken Hearted Kota,Joseph Shabason,0.485,0.178,0,-16.469,0,0.271,0.939,0.584,0.0511,0.694,186.019,audio_features,2nP8BQtLMXpaUWjUGWAwhy,spotify:track:2nP8BQtLMXpaUWjUGWAwhy,https://api.spotify.com/v1/tracks/2nP8BQtLMXpaUWjUGWAwhy,https://api.spotify.com/v1/audio-analysis/2nP8BQtLMXpaUWjUGWAwhy,311907,4,ambient
39,Space 8,Nala Sinephro,0.172,0.124,8,-21.048,1,0.0333,0.958,0.97,0.283,0.0394,123.85,audio_features,6kpoN7Z1mahkMePKztQdHt,spotify:track:6kpoN7Z1mahkMePKztQdHt,https://api.spotify.com/v1/tracks/6kpoN7Z1mahkMePKztQdHt,https://api.spotify.com/v1/audio-analysis/6kpoN7Z1mahkMePKztQdHt,1052000,3,ambient
40,日本の空気 - Air of Japan,Michiru Aoyama,0.283,0.0887,6,-26.035,0,0.0297,0.993,0.939,0.133,0.144,71.69,audio_features,4wKQfi7BK5PgqkOyy288Iw,spotify:track:4wKQfi7BK5PgqkOyy288Iw,https://api.spotify.com/v1/tracks/4wKQfi7BK5PgqkOyy288Iw,https://api.spotify.com/v1/audio-analysis/4wKQfi7BK5PgqkOyy288Iw,238004,4,ambient
41,Spain,"Julie Byrne, Steve Sobs",0.124,0.0845,7,-18.24,1,0.036,0.982,0.964,0.288,0.0322,97.347,audio_features,7nBp9NMpOUUMTxyfQPlk2M,spotify:track:7nBp9NMpOUUMTxyfQPlk2M,https://api.spotify.com/v1/tracks/7nBp9NMpOUUMTxyfQPlk2M,https://api.spotify.com/v1/audio-analysis/7nBp9NMpOUUMTxyfQPlk2M,286067,3,ambient
42,Impossible Island,Gaussian Curve,0.601,0.165,0,-19.596,1,0.032,0.883,0.903,0.112,0.466,92.02,audio_features,312f1c2NbtQKam65h7Mq39,spotify:track:312f1c2NbtQKam65h7Mq39,https://api.spotify.com/v1/tracks/312f1c2NbtQKam65h7Mq39,https://api.spotify.com/v1/audio-analysis/312f1c2NbtQKam65h7Mq39,448353,4,ambient
